,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
2279,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,1750.0,0.0,0.0,0.0
2280,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1250.0
2281,No pobre,0.0,0.0,0.0,0.0,0.0,4,0.0,10.0,0.0,0.0,0.0,12.5,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,0.5,625.0,0.0,0.0,0.0
2282,No pobre,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1600.0
2283,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6666666666666666,0.0,0.3333333333333333,1166.6666666666667,0.0,0.0,0.0
2284,No pobre,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88888888888889,2.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,10.0,0.4444444444444444,1700.0,0.0,0.0,0.0
2285,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
2286,No pobre,400.0,0.0,0.0,0.0,0.0,7,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,5.0,1.4285714285714286,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.428571428571429,0.42857142857142855,1042.857142857143,0.0,0.0,0.0
2287,No pobre,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,4.666666666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,10.0,0.3333333333333333,1000.0,0.0,0.0,0.0
2288,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,11.25,0.25,1125.0,0.0,0.0,0.0
2289,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.5,1250.0,0.0,0.0,0.0
2290,No pobre,0.0,0.0,0.0,0.0,0.0,4,0.0,10.0,0.0,0.0,0.0,10.0,0.0,7.5,1.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,15.0,0.25,875.0,0.0,0.0,0.0
2291,No pobre,0.0,0.0,0.0,0.0,2.0,5,0.0,5.714285714285714,0.0,0.0,0.0,5.714285714285714,0.0,0.0,1.8571428571428572,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,10.0,0.42857142857142855,214.28571428571428,0.0,0.0,0.0
2292,No pobre,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.5,1333.3333333333333,0.0,0.0,0.0
2293,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0
2294,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,800.0,0.0,700.0,0.0
2295,No pobre,0.0,0.0,0.0,0.0,0.0,5,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.8,3300.0,0.0,0.0,0.0
2296,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.2,800.0,0.0,0.0,0.0
